adduct,add,sub,charge,molMult,adduct_generic
M+3H,H3,"",3,1,[M+H3]3+
M+2H+Na,H2Na,"",3,1,[M+H2Na]3+
M+H+2Na,HNa2,"",3,1,[M+HNa2]3+
M+3Na,Na3,"",3,1,[M+Na3]3+
M+2H,H2,"",2,1,[M+H2]2+
M+H+NH4,H5N,"",2,1,[M+H5N]2+
M+H+Na, HNa,"",2,1,[M+HNa]2+
M+H+K,HK,"",2,1,[M+HK]2+
M+ACN+2H,C2H5N,"",2,1,[M+C2H5N]2+
M+2Na,Na2,"",2,1,[M+Na2]2+
M+2ACN+2H,C4H8N2,"",2,1,[M+C4H8N2]2+
M+3ACN+2H,C6H11N3,"",2,1,[M+C6H11N3]2+
M+H,H,"",1,1,[M+H]+
M+NH4,H4N,"",1,1,[M+H4N]+
M+Na,Na,"",1,1,[M+Na]+
M+CH3OH+H,CH5O,"",1,1,[M+CH5O]+
M+K,K,"",1,1,[M+K]+
M+ACN+H,C2H4N,"",1,1,[M+C2H4N]+
M+2Na-H,Na2,H,1,1,[M+Na2-H]+
M+IsoProp+H,C3H10O,"",1,1,[M+C3H10O]+
M+ACN+Na,C2H3NNa,"",1,1,[M+C2H3NNa]+
M+2K-H,K2,H,1,1,[M+K2-H]+
M+DMSO+H,C2H7OS,"",1,1,[M+C2H7OS]+
M+2ACN+H,C4H7N2,"",1,1,[M+C4H7N2]+
M+IsoProp+Na+H,C3H10ONa,"",1,1,[M+C3H10NaO]+
2M+H,H,"",1,2,[2M+H]+
2M+NH4,H4N,"",1,2,[2M+H4N]+
2M+Na,Na,"",1,2,[2M+Na]+
2M+K,K,"",1,2,[2M+K]+
2M+ACN+H,C2H4N,"",1,2,[2M+C2H4N]+
2M+ACN+Na,C2H3NNa,"",1,2,[2M+C2H3NNa]+
M-3H,"",H3,-3,1,[M-H3]3-
M-2H,"",H2,-2,1,[M-H2]2-
M-H2O-H,"",H3O,-1,1,[M-H3O]-
M-H,"",H,-1,1,[M-H]-
M+Na-2H,Na,H2,-1,1,[M+Na-H2]-
M+Cl,Cl,"",-1,1,[M+Cl]-
M+K-2H,K,H2,-1,1,[M+K-H2]-
M+FA-H,CH2O2,H,-1,1,[M+CH2O2-H]-
M+Hac-H,C2H4O2,H,-1,1,[M+C2H4O2-H]-
M+Br,Br,"",-1,1,[M+Br]-
M+TFA-H,C2HF3O2,H,-1,1,[M+C2HF3O2-H]-
2M-H,"",H,-1,2,[2M-H]-
2M+FA-H,"",H,-1,2,[2M-H]-
2M+Hac-H,C2H4O2,H,-1,2,[2M+C2H4O2-H]-
3M-H,"",H,-1,3,[3M-H]-
M-e,"","",1,1,[M]+
M+e,"",H,-1,1,[M-H]-
-e,"","",1,1,[M]+
+e,"","",-1,1,[M]-
+H,H,"",1,1,[M+H]+
-H,"",H,-1,1,[M-H]-
+Na,Na,"",1,1,[M+Na]+
